         152754 function calls (142365 primitive calls) in 0.243 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1010    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.241    0.241 C:/Users/nmoll/OneDrive/Documents/Gen-Modeling-Governance/GM_code.py:9(sample)
       14    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\controlflow.py:653(_find_loops)
        8    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\llvmpy\core.py:146(bitcast)
       17    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\runtime\nrtopt.py:29(_extract_functions)
       51    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:650(__init__)
     70/7    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\datamodel\packer.py:175(rec)
       90    0.000    0.000    0.005    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\colorama\initialise.py:74(wrap_stream)
      330    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\datamodel\models.py:659(get_field_position)
       59    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:514(descr)
        4    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\compiler_machinery.py:343(dependency_analysis)
       56    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\base.py:361(install_registry)
      210    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\types.py:439(elements)
      252    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\types.py:231(__eq__)
       71    0.000    0.000    0.024    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:797(descr)
       56    0.000    0.000    0.004    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\cgutils.py:858(gep_inbounds)
        4    0.000    0.000    0.000    0.000 {method 'dirichlet' of 'numpy.random.mtrand.RandomState' objects}
      148    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:683(__init__)
       20    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      147    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\types.py:27(as_pointer)
       25    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\typeinfer.py:901(__setitem__)
      147    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\datamodel\models.py:670(get_type)
       17    0.000    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:176(set_weights)
      151    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\builder.py:228(position_at_end)
       11    0.000    0.000    0.009    0.001 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\binding\module.py:11(parse_assembly)
       28    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\ir.py:558(__repr__)
       84    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\builder.py:268(goto_entry_block)
       90    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\colorama\ansitowin32.py:43(isatty)
       59    0.000    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\builder.py:897(gep)
       13    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\llvmpy\core.py:173(add_global_variable)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      461    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\compiler.py:272(__getattr__)
      330    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
      135    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\binding\ffi.py:257(close)
        8    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\inspect.py:2095(_signature_from_function)
       25    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\interpreter.py:395(store)
        7    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\datamodel\packer.py:73(__init__)
       31    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\builder.py:18(wrapped)
       33    0.000    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:138(descr)
       26    0.000    0.000    0.004    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:631(descr_prototype)
       69    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\ntpath.py:122(splitdrive)
       28    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\controlflow.py:394(_eliminate_dead_blocks)
       90    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\typing\context.py:414(install_registry)
        8    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\dataflow.py:30(run_on_block)
       12    0.000    0.000    0.005    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\typeinfer.py:568(resolve)
  296/230    0.000    0.000    0.005    0.000 C:\Users\nmoll\Anaconda3\lib\contextlib.py:79(__enter__)
       59    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:515(<listcomp>)
       80    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\errors.py:432(catch_warnings)
      456    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\typing\templates.py:355(<genexpr>)
        9    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\ntpath.py:560(relpath)
       71    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:779(__init__)
      169    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\os.py:734(encodekey)
        3    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\ctypes\__init__.py:47(create_string_buffer)
       90    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\_collections_abc.py:664(__contains__)
       71    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:619(append_basic_block)
        2    0.000    0.000    0.010    0.005 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\typeinfer.py:141(propagate)
      278    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\controlflow.py:101(add_edge)
      383    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\binding\ffi.py:55(__getattr__)
      132    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:182(__hash__)
      169    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\os.py:728(check_str)
       78    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\cgutils.py:158(__setattr__)
       77    0.000    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\types\containers.py:256(__unliteral__)
        9    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\typing\context.py:686(load_additional_registries)
       86    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\binding\module.py:213(__next__)
    83/52    0.000    0.000    0.014    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\utils.py:346(__get__)
       32    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:308(__init__)
      398    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\ir.py:1259(terminator)
     1323    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
    21/14    0.000    0.000    0.003    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\base.py:539(get_function)
      233    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\types.py:553(__eq__)
       20    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\runtime\nrtopt.py:120(_move_and_group_decref_after_all_increfs)
